;Indice;Domanda ChatGTP;Risposta ChatGTP;Valutazione ChatGTP
43;2;Who are the contracting parties in the Hotel Accommodation Contract?;Mövenpick Hotels Deutschland GmbH (Operating Company) and the Customer are the contracting parties in the Hotel Accommodation Contract.;G
44;2;What are the restrictions and regulations related to smoking in the hotel rooms and public areas?;Smoking, including e-cigarettes, is prohibited in non-smoking rooms and public areas;G
45;2;What obligations does the Hotel have in terms of room availability and services according to the Contract?;The Hotel is obliged to keep available the rooms reserved by the Customer and to render the agreed services;G
46;2;Under what circumstances can the Hotel demand an advance payment or security from the Customer?;Upon conclusion of the Contract, the Hotel may require a reasonable advance payment or the provision of security from the Customer.;G
47;2;What is the preferred language version in case of discrepancies in translations of the General Terms and Conditions?;The approved English version of the General Terms and Conditions takes precedence over its translations.;G
48;2;What is the governing law for the Contract and these General Terms and Conditions?;The Contract and General Terms and Conditions are governed exclusively by German substantive law, without the application of its conflict of law’s provisions;G
49;2;How does the hotel handle parcels and other postal/mail items?;Parcels and other postal items are accepted only if pre-registered and addressed to an overnight guest or an event known to the hotel;G
50;2;What are the payment obligations of the Customer to the Hotel according to the terms and conditions?;The Customer is obliged to pay the Hotel the agreed or applicable prices for room rental and other services provided.;G
51;2;What is the scope of applicability for the General Terms and Conditions provided by Mövenpick Hotels Deutschland GmbH?;The General Terms and Conditions apply when the Customer enters into a contract for the rent of hotel rooms and other services in one of the hotels operated by Mövenpick Hotels Deutschland GmbH in Germany.;G
52;2;In what situations can the Hotel withdraw from the Contract without consequences?;The Hotel can withdraw from the Contract under certain circumstances, including the Customer's failure to waive the right of withdrawal, non-payment of an advance payment or security, or a materially justifiable cause.;G
53;2;What precautions should the Customer take regarding property brought into the Hotel?;The Hotel recommends using the safe at the Hotel reception for valuable items;G
54;2;What is the liability of the Hotel for damages, and under what conditions is it limited?;The Hotel is liable for damages caused with intent or gross negligence;G
55;2;How does the Hotel handle wake-up calls, messages, mail, and deliveries for guests?;Wake-up calls are carried out diligently, and the Hotel handles messages, mail, and deliveries with care;G
56;2;Does the hotel participate in extrajudicial resolution of consumer disputes, and if so, where can it be accessed?;The hotel does not participate in dispute resolution proceedings held before consumer dispute resolution bodies.;S
57;2;What are the rules regarding internet use and file sharing in the hotel?;The customer is not permitted to carry out illegal file sharing using the hotel's internet connection;G
58;2;What are the consequences if a room in the reserved category is not available upon the customer's arrival?;If a room in the reserved category is not available upon the customer's arrival, the Hotel will provide a room in the next higher category;G
59;2;Where can guests find detailed information about the handling of their personal data?;"Detailed information about the handling of personal data can be found in the ""Privacy Notice for Guests,"" available at the Reception.";G
60;3;What are the services provided by Hotel2Stay according to the document?;The services provided by Hotel2Stay include offering food & beverages, reception services, cleaning services, the use of common areas, the rooftop terrace, launderette, sauna spots, and the use of a gym.;G
61;3;What are the acceptable payment methods for Hotel2Stay?;Hotel2Stay accepts payments by credit card, debit card, or via wire transfer (cards accepted such as Visa, MasterCard, American Express, or Maestro).;G
62;3;How does the document address safety concerns for guests?;Hotel2Stay ensures safety by having 24-hour surveillance of staff members and recording incidents through CCTV.;G
63;3;What is the purpose of the House rules at Hotel2Stay?;The House rules at Hotel2Stay are set to preserve order, peace, and quietness in the hotel.;G
64;3;"How is the term ""Guest"" defined in the document?";"In the document, a ""Guest"" is defined as the person to whom Hotel2Stay provides services, and it may also include the person accompanying the Guest.";G
65;3;How does Hotel2Stay handle overbooking situations or Force Majeure events?;In overbooking situations or Force Majeure events, Hotel2Stay may offer the Guest other hotel accommodations of at least comparable quality;G
66;3;What is the Minimum Age requirement for a Guest to make a reservation?;The Minimum Age for a Guest to make a reservation and stay in the hotel is 21 years.;G
67;3;What is the maximum length of stay Hotel2Stay offers?;Hotel2Stay offers a maximum stay of 6 months within an 18-month period.;G
68;3;What is the address of Hotel2Stay?;The address of Hotel2Stay is Tempelhofstraat 2, 1043 EC Amsterdam, The Netherlands.;G
69;3;"What does the term ""Guarantor"" refer to?";"The term ""Guarantor"" refers to the party who guarantees the payment of the hotel accommodation fee and/or any outstanding charges.";G
70;3;How does Hotel2Stay handle security deposits during check-in?;During check-in, guests are required to pay a security deposit of €100, which can be paid for by credit card (preauthorization) or debit card (actual payment) and will be refunded after the check-out day.;G
71;3;What is the procedure for canceling an Extended Stay Booking?;The procedure for canceling an Extended Stay Booking includes providing a one (1) month prior notice of cancellation/replacement booking;G
72;3;How does Hotel2Stay handle deposits and room inventory checks?;Hotel2Stay may require the Guest to pay a deposit of €300 for unpaid invoices or damages;G
73;3;What liabilities do guests have for damages or loss at Hotel2Stay?;Guests are entirely responsible for the conduct and behavior of the people they bring into Hotel2Stay and will be liable for any damages or costs incurred.;G
74;3;Under what circumstances can Hotel2Stay terminate its services to a Guest?;Hotel2Stay can terminate its services to a Guest in case of violation of the Terms & Conditions and/or House rules;G
75;3;How long is an Optional Booking valid unless specified otherwise?;Optional Bookings are valid for a period of 48 hours unless another period has been confirmed by Hotel2Stay in writing.;G
76;3;What are the check-in and check-out times for guests?;The check-in time is at 3 p.m;G
77;3;What is the process for filing complaints with Hotel2Stay?;Complaints regarding the Hotel Agreement must be made in writing by the Contracting Party and/or Guest and submitted immediately after discovering the failure to perform;G
78;3;What jurisdiction is specified for disputes related to the Hotel Agreement?;The document specifies that the Hotel Agreement is governed by the laws of the Netherlands, and the competent court in Amsterdam, The Netherlands, has exclusive jurisdiction over disputes related to the Hotel Agreement.;G
79;3;How does the document address force majeure situations?;The document addresses force majeure situations, and in such cases, Hotel2Stay is entitled to suspend or cancel the Hotel Agreement without liability for harm or loss.;G
80;4;What is the hotel's policy on smoking within the entire hotel building?;Smoking is strictly prohibited in the entire hotel building.;G
81;4;What specific request does the hotel have for guests regarding environmentally friendly behavior during their stay?;Guests are asked to behave in an environmentally friendly manner, especially with regard to the use of water and electricity.;G
82;4;Who is considered materially liable for any damage to the hotel's furniture and technical equipment?;The hotel guest is materially liable for any damage to the hotel's furniture and technical equipment caused through his or her own fault or that of his or her visitors.;G
83;4;Does the hotel accept liability for luggage deposited in the specially designated space?;The hotel offers the possibility of depositing luggage in a specially designated space but accepts no liability for it.;G
84;4;What does the hotel expressly disclaim any liability for in the provided rules?;The hotel expressly disclaims any liability for the loss of valuables, especially jewelry and cash.;G
85;4;What additional charge is mentioned for a late check-in or check-out?;An additional charge of 50 CH is mentioned for a late check-in or check-out.;G
86;4;At what time can a booked room be occupied on the day of arrival at the 6532 SmartHotel?;The booked room can be occupied from 15:00 on the day of arrival.;G
87;4;What is strictly forbidden in the event of a fire according to the hotel rules?;In the event of an emergency, guests must use the indicated escape routes and emergency exits, and it is strictly forbidden to use the lift in the event of a fire.;G
88;4;What happens if a guest has a late departure, according to the hotel rules?;If a guest has a late departure, the room will be charged for an additional night.;G
89;4;What action does the hotel request guests to take regarding found or lost items?;Guests are kindly asked to report any found or lost items to reception.;G
90;4;Until what time must noise in the rooms be kept down in all rooms, corridors, and stairwells?;Noise in the room must be kept down from 10 pm in all rooms, corridors, and stairwells.;G
91;4;What is the designated area for smoking, and what is the hotel's stance on it?;Guests are kindly asked to use the designated outdoor area for smoking.;G
92;4;What is the additional charge for bringing pets into the hotel, and what condition must be met regarding their supervision?;Pets are allowed in the hotel under supervision for an additional charge of CHF 20.00 per day, but they are not allowed to be left alone in the room.;G
93;4;Are pets allowed to be left alone in the hotel room, according to the rules?;No, pets are not allowed to be left alone in the room.;G
94;4;During the week, at what time is breakfast served at the hotel?;Breakfast is served from 07:00 to 10:00 during the week.;G
95;4;In case of medical needs, where should guests consult for useful numbers?;"In case of medical needs, guests should consult the map in their room under ""useful numbers.""";G
96;4;Is it permissible for a hotel guest to leave the room to another person without the hotel's consent?;No, a hotel guest may not leave the room to another person without the written consent of the hotel.;G
97;4;"How does the hotel define a ""hotel guest"" in the provided rules?";A hotel guest is any person staying in the hotel who has concluded a hotel contract or has registered something that suggests that he or she wants to conclude a hotel contract.;G
98;4;What action is the hotel staff authorized to take if a guest disturbs others or violates the rules?;The hotel staff is authorized to refuse services to a person who violates this rule.;G
99;4;By what time are guests asked to vacate their hotel rooms on the day of departure?;Guests are asked to vacate their hotel room by 10:30 a.m;G
100;5;Where does the text suggest guests keep their valuables for security?;Guests are advised to keep their valuables in the special safes in their rooms for added security.;G
101;5;In case of non-compliance with rules, who has the authority to terminate the accommodation of guests?;In case of non-compliance with rules, the hotel management has the authority to terminate the accommodation of guests.;G
102;5;What action does the text strictly forbid in terms of discarding items or garbage?;It is strictly forbidden to discard items or garbage from the windows or balconies of the hotel.;G
103;5;What responsibility does the hotel management disclaim in relation to accidents or injuries?;The hotel management disclaims responsibility in relation to accidents or injuries.;S
104;5;What locations should guests accompany children, as mentioned in the rules?;Guests should accompany children in locations such as stairways.;G
105;5;What is the primary purpose of the rooms in the hotel, according to the text?;The primary purpose of the rooms in the hotel is for accommodation services.;G
106;5;What is the hotel management's stance on lost or stolen belongings of guests?;The hotel management does not accept responsibility for lost or stolen belongings of guests.;G
107;5;How does the text advise guests to handle their valuables for added security?;The text does not specifically advise guests on how to handle their valuables for added security.;S
108;5;What specific behavior is strictly forbidden among the hotel guests, according to the rules?;Harassing each other or demonstrating disturbing behavior is strictly forbidden among hotel guests.;G
109;5;How does the text address the issue of noise within the hotel premises?;The text suggests that guests maintain a reasonable volume level to respect the comfort of other guests.;G
110;5;What requirement does the text mention for individuals staying in a room?;Individuals staying in a room must be registered at the reception.;G
111;5;According to the rules and regulations, what action can the hotel management take if guests fail to comply with the rules?;The hotel management reserves the right to terminate the accommodation of guests who fail to comply with the rules.;G
112;5;Why should children be accompanied in specific locations such as stairways?;Children should be accompanied in locations such as stairways to ensure their safety.;G
113;5;What consequences are mentioned for unregistered visitors attempting to enter guest rooms or other hotel areas?;Unregistered visitors attempting to enter guest rooms or other hotel areas may face an additional fee charged to the registered guest's account.;G
114;5;What does the hotel management disclaim responsibility for in terms of accidents or injuries?;The hotel management disclaims responsibility for any accident or injury beyond its control.;G
115;5;What is the consequence for unregistered visitors trying to enter guest rooms or hotel areas?;Unregistered visitors trying to enter guest rooms or hotel areas may face an additional fee.;G
116;5;What does the hotel management not accept responsibility for in terms of accidents or injuries?;The hotel management does not accept responsibility for any accident or injury beyond its control.;G
117;5;What responsibility do guests have concerning their belongings, and what is the hotel's stance on lost or stolen items?;Guests are entirely responsible for their belongings, and the hotel does not accept responsibility for lost or stolen items.;G
118;5;Is there any specific location mentioned for guests to keep their valuables, and what is it?;The text suggests keeping valuables in the special safes in the rooms.;G
119;5;What specific action is strictly forbidden concerning the disposal of items or garbage from the hotel?;It is strictly forbidden to discard items or garbage from the windows or balconies of the hotel.;G
120;6;What restrictions are placed on guests regarding moving furniture and using electrical appliances in their rooms?;Guests may not move furniture or interfere with electrical appliances without the consent of the hotel management.;G
121;6;Under what conditions is accommodation in the hotel permitted, concerning health and substance influence?;Accommodation in the hotel is permitted only for persons without infectious diseases and not visibly under the influence of alcohol or drugs.;G
122;6;According to the hotel regulations, when are orders for accommodation services considered mutually binding?;Orders for accommodation services are considered mutually binding when made in writing or by other means, confirmed by the hotel, and not cancelled by the customer in a timely manner.;G
123;6;During which hours are guests required to maintain low noise levels in the hotel?;Between 10:00 pm and 06:00 am, guests must maintain low noise levels.;G
124;6;What happens if a guest fails to vacate the room by the designated time on the departure day?;Failure to vacate the room by the designated time may result in an additional night's accommodation fee.;G
125;6;What is the hotel's policy regarding room extensions for guests?;In the case of a room extension, the reception may offer the guest a different room than the one originally assigned.;G
126;6;What are the regulations regarding leaving children under 12 years of age unattended in hotel rooms?;"Children under 12 years of age must not be left unattended; supervision is required in common areas and the use of the lift.";G
127;6;What responsibilities do guests have when leaving their room, particularly regarding water taps and electrical appliances?;"Guests must turn off water taps and electrical appliances when leaving the room; responsibility for damages lies with the guests.";G
128;6;What personal document must a guest present for registration at the hotel?;A guest must present a personal document (citizen's identification card) or a valid passport for registration.;G
129;6;What is the procedure for payment of accommodation and other services, according to the hotel regulations?;"Guests must pay the agreed-upon price upon arrival; on-site payments for services are due at the beginning of the stay.";G
130;6;How does the hotel handle suggestions for improvement and complaints from guests regarding accommodation and catering services?;The hotel welcomes suggestions for improvement and addresses complaints promptly, arranging rectification when necessary.;G
131;6;What is the standard check-in time at the hotel, and when must guests vacate their rooms on the day of departure?;Standard check-in time is from 14:00, and rooms must be vacated by 11:00 on the day of departure.;G
132;6;How can guests request early check-in or late check-out, and is there an additional cost associated with this service?;"Guests requiring early check-in or late check-out must contact the hotel reception in advance; extra costs may apply based on availability.";G
133;6;What is the hotel's 'No In-Room Party' Policy, and what are the consequences for guests who violate it?;The hotel enforces a 'No In-Room Party' Policy, and violation may lead to eviction without refund and a disturbance fee.;G
134;6;When is the official check-in time for guests arriving after midnight, and what should they do for early check-in?;"Guests arriving after midnight still pay for the whole preceding night; official check-in time is from 02:00 pm.";G
135;6;Which electrical appliances are guests allowed to use in the hotel building, and for what purposes?;"Guests may use their own electrical appliances for personal hygiene, computers, and phone chargers; rooms' devices should be used for their main purpose.";G
136;6;How does the hotel handle lost room keys, and what is the penalty for losing a key?;Losing room keys results in a penalty of 20 Eur, payable on the spot at the reception.;G
137;6;How is the hotel's inner courtyard parking facility to be used, and are there any fees associated with parking?;"Inner courtyard parking is subject to availability; private slots must be left free; parking fees apply.";G
138;6;In what circumstances may the hotel offer guests different accommodation than originally confirmed?;The hotel may offer guests different accommodation in special cases if it does not fundamentally differ from the confirmed order.;G
139;6;According to the hotel rules, who is responsible for damages caused to hotel property by guests?;Guests are responsible for damages caused to hotel property according to Hungarian legal prescriptions.;G
140;7;How should pet owners handle the presence of their pets in the room during the cleaning process?;During room cleaning, pets must be outside the room.;G
141;7;In which areas are animals not allowed access in Blu Hotels, specifically mentioning places related to food and beverages?;Animals are not allowed in areas where food and beverages are served, including restaurants, bars, terraces, and areas with food and beverage distributors.;G
142;7;What is the importance of having appropriate plastic envelopes and specific instruments for pet owners in the hotel?;Pet owners should have appropriate plastic envelopes and specific instruments for cleaning up after their pets.;G
143;7;What is the weight limit for pets that are allowed in Blu Hotels?;The weight limit for pets allowed in Blu Hotels is 15kg or less.;G
144;7;What must pets owners do regarding any excrement or dejection left by their animals in the hotel areas?;Pet owners are responsible for removing any excrement or dejection left by their animals in all hotel areas.;G
145;7;What kind of areas allow only the transit of pets as long as they are accompanied by the owners and meet certain requirements?;Pets are allowed to transit in certain common areas, accompanied by owners and meeting specific requirements.;G
146;7;List some specific areas where pets are strictly forbidden to access in Blu Hotels.;Pets are strictly forbidden in common areas such as sea areas, areas with sunbeds, beaches, swimming pools, miniclub/juniorclub, animation areas, playgrounds, wellness centers, sports fields, conference rooms, and sports equipment deposits.;G
147;7;Are there any restrictions on pets in areas equipped with sunbeds or deckchairs in Blu Hotels?;Pets are restricted from areas equipped with sunbeds or deckchairs.;G
148;7;What must pet owners ensure regarding the health of their pets, and what documentation may be required?;Pet owners must ensure their pets are in good health, have vaccinations, and may be required to show a health card.;G
149;7;What is the requirement for pets in common areas, and what precautions must be taken, such as the use of a leash and muzzle?;In common areas, pets must be on a leash and have an appropriate muzzle.;G
150;7;How should pet owners arrange the specific time for cleaning the room, and what requirement must be met during that time?;Pet owners must arrange with reception staff for a specific time to clean the room, and pets must be outside the room during cleaning.;G
151;7;What is the only allowed purpose for pets in common areas, and what conditions must be met?;Pets are allowed in common areas only for transit, always accompanied by owners, with the use of a leash and muzzle.;G
152;7;Is there an extra charge for bringing pets to Blu Hotels, and where can guests find information about this?;The stay of pets is allowed only upon payment of an extra supplement, indicated in the price list of every hotel.;G
153;7;Can pets access areas like swimming pools, beaches, and wellness centers in Blu Hotels?;Pets are not allowed access to swimming pools, beaches, wellness centers, and certain other specified areas.;G
154;7;What is the role of the health card for pets, and when might it be requested by the booking office or hotel staff?;The health card for pets may be requested by the booking office or hotel staff.;G
155;7;Are pets allowed in restaurants, bars, and terraces in Blu Hotels, and what are the limitations?;Animals are not allowed in restaurants, bars, and terraces.;G
156;7;What areas can pets transit in common spaces, and what precautions should be taken by pet owners?;Pets can transit in specific common areas with the use of a leash and muzzle.;G
157;7;How can guests find information about the extra supplement for bringing pets, and where is it indicated?;Information about the extra supplement for bringing pets can be found in the price list of every hotel.;G
158;7;What responsibility do pet owners have in terms of potential damages caused by their animals?;Pet owners accept complete responsibility for any damage caused by their animals.;G
159;7;Which hotels managed by Blu Hotels welcome small and medium pets?;Blu Hotels welcome small and medium pets.;G
160;8;What happens if the booked name is different from the staying guest in terms of payment?;If the payment is not made on the stipulated date, it will be billed directly to the customer who made the reservation.;G
161;8;According to the Rules of Usage, what right does the hotel management reserve if guests fail to observe or violate the stated rules?;The hotel management reserves the right to refuse the guest service of accommodation and use of hotel facilities.;G
162;8;How can guests contribute to saving electricity and conserving water resources during their stay?;Guests are asked for their cooperation in saving electricity and conserving water resources carefully.;G
163;8;Under what circumstances may the hotel refuse accommodation to guests, according to the rules?;The hotel may refuse accommodation to guests for reasons such as mental and physical concerns, drugs, drunk guests, and other acts that may cause disturbance to other guests.;G
164;8;How should guests manage their valuables and expensive items during their stay?;Guests should be sure to manage their valuables and expensive items.;G
165;8;What safety information is provided in guest rooms, and where is it located?;The evacuation route map is installed at the back of each guest room door.;G
166;8;What is the policy regarding minors staying without a guardian, and what other factors may result in the refusal of guests?;Minors are not allowed to stay without a guardian;G
167;8;What caution is advised for long-term accommodation, and what is explicitly mentioned about legal residence rights?;Long-term accommodation does not grant legal residence rights.;G
168;8;What is the replacement fee for a lost room card key, and what is the procedure for returning the key when leaving the hotel?;The replacement fee for a lost room card key is 3,000 yen;G
169;8;What are guests prohibited from doing in guest rooms other than accommodation, and what requires permission from the hotel?;Guests are prohibited from using guest rooms for purposes such as business activities, offices, parties, etc., without permission from the hotel.;G
170;8;What is the storage period for forgotten items, and what happens if items are not collected within that period?;The storage period is 3 days for unopened food and 1 month for other items;G
171;8;What will the hotel do with lost items, and how does it handle the situation according to the law?;The hotel will handle lost items according to the law.;G
172;8;What guidelines are provided for the use of the parking lot, and what responsibility does the hotel disclaim regarding parked cars?;Guests should follow the guide and instructions provided by the hotel staff;G
173;8;What payment methods are accepted by the hotel, and when is payment expected to be made?;Payment will be accepted in cash, travel check, accommodation voucher, credit card, or approved vouchers;G
174;8;Is the hotel responsible for fees related to online shopping, taxi, postage stamps, and baggage delivery?;No, the hotel will not pay for online shopping fees, taxi fees, postage stamps, and fees for the delivery of baggage.;G
175;8;What items or acts may cause inconvenience to other guests, and what specific items or behaviors are prohibited within the hotel premises?;Prohibited items include animals (except guide dogs), explosives, substances with strong odors, etc;G
176;8;What restrictions are placed on the use of fires and smoking inside guest rooms, according to the rules?;Guests are prohibited from using fires, such as lighting up candles, without hotel permission;S
177;8;What precautions should guests take regarding their room (card) key when leaving the room or sleeping?;Guests should bring along their room key when leaving the room and check if it is properly locked;G
178;8;How does the hotel recommend meeting visitors for the safety of guests?;For the safety of guests, the hotel recommends meeting visitors at the lobby of the hotel.;G
179;8;What is the policy regarding unused breakfast vouchers and special offers/discount tickets?;Refunds will not be given for unused breakfast vouchers, and unused special offers and discount tickets will not be refunded.;G
180;9;How long will the Regulations be in effect unless amended or replaced by another?;Until amended or replaced by another.;G
181;9;What happens if a client leaves the hotel before the end of the contracted stay?;The client is not exempt from paying the full amount for all reserved days and contracted services.;G
182;9;How does the Hotel handle services provided by legal entities or individuals in different areas of the hotel?;Legal entities or individuals providing services are responsible for their staff, operation, maintenance, prices, and everything inherent in their services.;G
183;9;What is the consequence of ignorance of these Regulations?;Ignorance of these Regulations is not a defense for non-compliance.;G
184;9;Under what circumstances can the Hotel request an advance guarantee of payment by credit card?;The Hotel can request an advance guarantee of payment for contracted services, including taxes, tourist tax, extras, damages, or malfunctions.;G
185;9;What are the valid identification documents for guests, both Spanish and foreign?;Valid identification includes passports, DNI, Driver's License, and for foreigners, Passport, Identity Card, or Residency Permit from specific countries.;G
186;9;Who do the Internal Procedure Regulations apply to, according to the presented document?;Hotel clients, visitors, occasional companions, users of services, and event attendees.;G
187;9;How does the Hotel handle accommodation for minors arriving alone?;The Hotel abstains from providing accommodation to minors arriving alone;G
188;9;What is mandatory for guests over the age of 14 regarding the registration sheet?;Guests over the age of 14 must personally sign the registration sheet.;G
189;9;Where can clients find a copy of the Regulations, and in how many languages are they available?;At the hotel reception and on the hotel's website;G
190;9;At what time does check-in take place, and what is the earliest time a guest can enter if rooms are available?;Check-in from 14:00, and guests can enter as early as 7:00 if rooms are available.;G
191;9;What does the admission document include, and when must users provide proof of their condition?;The admission document includes the client's name, commercial name, tourist classification, accommodation details, prices, and dates;G
192;9;How are hotel rooms billed, and what is the minimum billing for accommodation?;Hotel rooms are billed per day, and the minimum billing is at the rate of one overnight or day.;G
193;9;In case of a complaint, what forms should guests fill out, and where should they be handed in?;Guests should fill out forms provided by the relevant authoritative department(s) and hand them in at the hotel reception.;G
194;9;What is the maximum authorized capacity for certain services, and how does the Hotel handle reservations and admission outside those hours?;The Hotel reserves the right to vary timetables for services, and admission may be limited outside these hours.;G
195;9;What are the conditions for using hotel rooms and common spaces for activities such as interviews, filming, and photo sessions?;Such activities require prior authorization from the Management and compliance with regulations.;G
196;9;How does the Hotel handle extensions of the time of occupation, and what are the consequences of extending without agreement?;Extensions must be agreed upon, and extending without agreement results in the obligation to pay for an additional day.;G
197;9;What is the Hotel's policy for clients who fail to comply with the rules, and how may the Hotel deal with damages, malfunctions, or theft by customers?;The Hotel reserves the right to order immediate departure and can use the breakage deposit for damages, malfunctions, or theft by customers.;G
198;9;What is the Hotel's right regarding admission and reservation cancellation for clients who violate the Regulations?;The Hotel reserves the right of admission and to cancel the reservation without a refund for clients who violate the Regulations.;G
199;9;What payment methods are accepted by the Hotel?;Accepted payment methods include cash, debit cards (Maestro), and credit cards (Master Card, Visa, Amex, American Express, and Diners).;G
200;10;What happens if guests fail to pay the request fee by the specified due date?;Reservation null and void if not paid by due date.;G
201;10;How does the hotel handle guests' cash, valuables, or other goods in special occasions?;Generally not responsible, compensates in special cases.;G
202;10;In the event of damage to the hotel due to guests' intention or negligence, who is responsible for compensating the damages?;Guests compensate for damages caused to the hotel due to intention or negligence.;G
203;10;What is the hotel's policy regarding cancellation fees if guests cancel Accommodation Agreements?;Guests liable for cancellation fees based on cancellation policy.;G
